case_number,company_name,clean_name_1,clean_name_2,emp_1_city,emp_1_state,emp_1_zip,scrape_status
09-RC-300771,"E HOME BEHAVIORAL, LLC d/b/a ETHAN CROSSING OF SPRINGFIELD",,,Springfield,OH,45503,
09-RC-302029,"BURLINGTON OPERATING CO., LLC D/B/A BURLINGTON HEALTHCARE CENTER",,,Cincinnati,OH,45231,
09-RC-303075,"PEOPLES GAS KENTUCKY, LLC, A SUBSIDIARY OF PNG COMPANIES, LLC",,,Pikeville,KY,41501,
09-RC-303337,"COMPASS GROUP USA, INC. D/B/A CANTEEN VENDING SERVICES",Chartwells,Compass Group,Charleston,WV,25312,
09-RC-305322,"VALIANT GOVERNMENT SERVICES, LLC",,,Dayton,OH,45433,
10-RC-015611,PPG Aerospace Industries,,,Pittsburgh,PA,15222,
10-RC-015723,"Tuscaloosa Resources, Inc.",,,Mountain Brk,AL,35223,
10-RC-015724,E.F.C.O. FORMS,,,,,,
10-RC-015730,TRUCHECK METERING SOLUTIONS,,,Riverdale,GA,30274,
10-RC-015733,BLACK BOX TECHNOLOGIES,,,Ft Benning,GA,31905,
10-RC-015735,Roberta HealthCare,,,Roberta,GA,31078,
10-RC-015737,"WACKENHUT SERVICE, INC.",wackenhut,,Palm Beach Gardens,FL,33418,
10-RC-015739,"MASTEC ADVANCED TECHNOLOGIES, INC.",MasTec,,Duluth,GA,30096,
10-RC-015740,TRU CHECK METER SOLUTIONS,,,Chamblee,GA,30341,
10-RC-015742,"M1 SUPPORT SERVICES, LP",,,Robins Air Force Bas,GA,31098,
10-RC-015753,"FED SERVICES, INC.",,,Hinesville,GA,31313,
10-RC-015755,LOCKHEED MARTIN,Lockheed,,Fort Stewart,GA,31315,
10-RC-015759,TECHWISE,,,Fort Benning,GA,31905,
10-RC-015761,PINE RIDGE REGIONAL LANDFILL,,,Griffin,GA,30224,
10-RC-015766,BALFOR BEATTY COMMUNITY,,,Fort Stewart,GA,31314,
10-RC-015770,Railcrew Xpress,,,Lenexa,KS,66219,
10-RC-015774,Morningstar Foods LLC,,,Decatur,AL,35601,
10-RC-015777,"Comcast of Alabama, Inc.",Comcast ,,Huntsville,AL,35810,
10-RC-015782,"COCA-COLA ENTERPRISE, INC.",Coca Cola,,Atlanta,GA,30339,
10-RC-015783,L-3 COMM/LINK SIM & TRAINING,L-3,,Warner Robins,GA,31098,
10-RC-015784,"ITT CORPORATION, SYSTEMS DIVISION",,,Fort Benning,GA,31905,
10-RC-015790,BARTLETT NUCLEAR INCORPORATED,,,Plymouth,MA,2360,
10-RC-015791,"Bowater Alabama, Inc. a subsidiary of Abitibi Bowater, Inc.",,,Coosa Pines,AL,35044,
10-RC-015798,Cintas Corporation,,,,,,
10-RC-015800,FRONTIER COMMUNICATIONS d/b/a CITIZENS TELECOMMUNICATIONS COMPANY OF TENNESSEE,CTSI,Frontier communications,Powell,TN,37849,
10-RC-015802,ABB Inc.,,,Muscle Shoals,AL,35661,
10-RC-015805,NAKATETSU MACHING TECNOLOGIES LLC,,,Telford,TN,37690,
10-RC-015806,SOUTHERN NUCLEAR OPERTING CO. PLANT VOGTLE,,,Waynesboro,GA,30830,
10-RC-015807,JILLDEN REALTY MANAGEMENT CO.,,,Fort Benning,GA,31905,
10-RC-015814,CUBIC WORLDWIDE TECH SERVICES,,,Savannah,GA,31408,
10-RC-015818,O'REILLY OZARK AUTOMOTIVE INC.,,,Forest Park,GA,30297,
10-RC-015821,BALFOUR-BEATTY,,,Ft Stewart,GA,31314,
10-RC-015822,L-3 VORTEX,L-3,,Warner Robins,GA,31098,
10-RC-015823,Five Star Quality Care LLC,,,Hoover,AL,35244,
10-RC-015825,HANSON PRESSURE PIPE,,,Sale Creek,TN,37373,
10-RC-015827,PARAGON/SECURITAS,Securitas,,Washington,DC,20004,
10-RC-060092,Coastal International Security,Coastal International,Coastal Security,Marshall Flight Spac,AL,35812,
10-RC-060095,VEOLIA TRANSIT,veolia,,Hinesville,GA,31313,
10-RC-061277,"TENET HEALTH SYSTEM GB, INC.",Saint Vincent,Tenet,Atlanta,GA,30312,
10-RC-061343,"TENET SOUTH FULTON, INC.",Saint Vincent,Tenet,East Point,GA,30344,
10-RC-063163,DR. PEPPER SNAPPLE GROUP,,,Norcross,GA,30071,
10-RC-063169,DR. PEPPER SNAPPLE GROUP,,,Norcross,GA,30071,
10-RC-064439,O'REILLY AUTO PARTS DISTRIBUTION CENTER #10,,,Knoxville,TN,37917,
10-RC-064853,"AQUA-CHEM, INC.",,,Knoxville,TN,37914,
10-RC-064945,"AKIMA FACILITIES MANAGEMENT, LLC",Akima,,Charalotte,NC,28277,
10-RC-066020,LOOMIS,loomis,,Houston,TX,77042,
10-RC-066689,THE WHITESTONE GROUP,Whitestone,,Columbus,OH,43219,
10-RC-067014,PROTECTION STRATEGIES INCORPORATED,protection strategies,psi,Arlington,VA,22204,
10-RC-067018,PROTECTION STRATEGIES INCORPORATED,protection strategies,psi,Arlington,VA,22204,
10-RC-068543,"L3 VERTEX AEROSPACE, LLC",L3,Vertex Aerospace,MADISON,MS,39110,
10-RC-068827,"SODEXO, INC.",sdh,sodexo,Gaithersburg,MD,20878,
10-RC-069489,BFI WASTE SYSTEMS OF GEORGIA,BFI Waste,,McDonough,GA,30253,
10-RC-069751,"URS FEDERAL TECHNICAL SERVICES, INC.",URS Federal,,Norfolk,VA,23502,
10-RC-073470,"EXCALIBUR ASSOCIATIES, INC.",,,Alexandria,VA,22314,
10-RC-074862,"MSC INDUSTRIAL DIRECT CO., INC.",,,Mableton,GA,30126,
10-RC-079295,"GGNSC WINFIELD, LLC D/B/A GOLDEN LIVING CENTER-WINFIELD",Golden Living,,Winfield,AL,35594,
10-RC-080095,MAYFIELD DAIRIES,,,Tifton,GA,31794,
10-RC-080106,"FAURECIA AUTOMOTIVE SEATING, INC.",,,Lebanon,TN,37090,
10-RC-082404,"IKEA DISTRIBUTION SERVICES, INC.",Ikea,,Savannah,GA,31407,
10-RC-085850,"WATCO ALABAMA PORT SERVICES, LLC",,,Houston,TX,77015,
10-RC-089889,"MDV, a wholly owned subsidiary of NASH FINCH COMPANY",MDV,Nash Finch,Atlanta,GA,30303,
10-RC-091714,KIMBERLY CLARK CORPORATION,,,Loudon,TN,37774,
10-RC-091799,"VIOX SERVICES, INC.",,,Cincinnati,OH,45215,
10-RC-097308,"Executive  Management Services, Inc.",,,Nashville,TN,37209,
10-RC-101166,"PAC TELL GROUP, INC. D/B/A U.S. FIBERS",,,Trenton,SC,29847,
10-RC-104875,"MAYFIELD DAIRY FARMS, LLC",,,Knoxville,TN,37922,
10-RC-109967,"MAYFIELD DAIRY FARMS, LLC",,,MACON,GA,31211,
10-RC-109990,"MAYFIELD DAIRY FARMS, LLC",,,MACON,GA,31211,
10-RC-110531,"G4S Government Solutions, Inc.",G4s,,Radford,VA,24143,
10-RC-110732,HICKMAN WILLIAMS AND COMPANY,,,BIRMINGHAM,AL,35222,
10-RC-111840,"Augusta Transit Management, Inc.",,,Augusta,GA,30904,
10-RC-112375,"Gino Morena Enterprises, LLC d/b/a American Clipper Barber Shop",Gino morena,,SOUTH SAN FRANCISCO,CA,94083,
10-RC-115221,SOUTHFRESH FARMS,,,EUTAW,AL,35462,
10-RC-115676,Fed Serv Industries,,,WALDORF,MD,20602,
10-RC-115744,FJC Security Services Inc.,,,Floral Park,NY,11001,
10-RC-116015,"CHC - University Nursing & Rehab CTR, LLC",,,Athens,GA,30606,
10-RC-116029,"Quantell, Inc.",,,Grantsville,MD,21536,
10-RC-116422,Pepsi Beverages Company,Pepsi,,Summerville,SC,29483,
10-RC-118787,Fed Serv Industries,,,WALDORF,MD,20602,
10-RC-123108,Newton Welding Services,,,Loganville,GA,30052,
10-RC-123261,"Guitar Center Stores, Inc.",,,Knoxville,TN,37923,
10-RC-123541,"Attalla Nursing ADK, LLC d/b/a Attalla Healthcare",,,Attalla,AL,35954,
10-RC-124239,"Stellar Management Group III, Inc. d/b/a QSI",,,Buena Vista,GA,31803,
10-RC-125475,SYMTECH CORPORATION,,,Sarasota,FL,34232,
10-RC-126849,"G4S Government Solutions, Inc., d/b/a WSI Savannah River Site, a/k/a WSI-SRS",G4s,,Aiken,SC,29802,
10-RC-130196,"Southern Management ABM, LLC",abm security,abm,Birmingham,AL,35211,
10-RC-131179,Sunrise Beach Corporation d/b/a M-2 Services Corporation,,,McKinney,TX,75070,
10-RC-131193,"L-3 Army Sustainment, LLC",L-3,,Savannah,GA,31409,
10-RC-131365,"URS Federal Services, Inc.",URS Federal,,Newport News,VA,23606,
10-RC-132083,"The Whitestone Group, Inc.",Whitestone,,Columbus,OH,43219,
10-RC-132624,"Mayfield Dairy Farms, LLC",,,Decatur,GA,30035,
10-RC-132633,Loomis Armored US LLC,loomis,,Atlanta,GA,30354,
10-RC-133478,"DE WAFELBAKKERS, LLC",,,MCDONOUGH,GA,30253,
10-RC-133711,"Akal Security, Inc.",,,Addsison,TX,75001,
10-RC-133897,"Frito-Lay, Inc.",,,Huntsville,AL,35758,
10-RC-134510,"Steel Fab, a division of Samuel Pressure Vessel Group, Inc.",,,Lebanon,VA,24266,
10-RC-135404," Coca Cola Bottling Company United, Inc., d/b/a Chattanooga Coca-Cola Bottling Company",Coca Cola,,Chattanooga,TN,37406,
10-RC-136486,"Aramark Educational Service, LLC at Mercer University",Aramark,,New York,NY,10017,
10-RC-136685,"J & J Maintenance, Inc.,  d/b/a J & J Worldwide Services",,,,,,
10-RC-137728,"Taylor Motors, Inc.",,,Ft Campbell,KY,42223,
10-RC-139971,"CREC GROUP, LLC",,,Goose Creek,SC,29445,
10-RC-144228,"The Whitestone Group, Inc.",Whitestone,,Columbus,OH,43219,
10-RC-145310,"The Whitestone Group, Inc.",Whitestone,,Columbus,OH,43219,
10-RC-151143,"URS Federal Services, Inc.",URS Federal,,Oklahoma City,OK,73110,
10-RC-151812,Kapstone Paper and Packaging Corporation,,,North Charleston,SC,29406,
10-RC-152911,"Harsco Rail, A Division of Harsco Corporation",,,CAYCE-WEST COLUMBIA,SC,29171,
10-RC-155107,"American Red Cross, Southern Blood Services Region",Red cross,,Douglasville,GA,30135,
10-RC-156905,Nestle Prepared Foods Company,Deer Park,Nestle,Danville,VA,24540,
10-RC-157233,"Trinity Marine Products, Inc.",,,Paducah,KY,42003,
10-RC-158871,"Crothall Healthcare, Inc.",Crothall,Compass group,Madisonville,KY,42431,
10-RC-162130,Concentric Methods,,,Manassas,VA,20109,
10-RC-163340,"Pepsi Beverages Company, an operating unit of Pepsico, Inc.",Pepsi,,Atlanta,GA,30318,
10-RC-164788,"CONSOLIDATED NUCLEAR SERVICES, LLC",,,Oak Ridge,TN,37830,
10-RC-165127,"SDH Services East, LLC, also known as Sodexo",sdh,sodexo,Beaufort,SC,29904,
10-RC-167067,"SOUTHERN STATES CHEMICAL, INC.",,,,,,
10-RC-167961,"FJC Security Services, Inc.",,,Floral Park,NY,11001,
10-RC-168026,GGNSC Oxford LLC d/b/a Golden Living Center-Oxford,Golden Living,,Oxford,AL,35203,
10-RC-169989,"American Red Cross, Southern Region",Red cross,,Douglasville,GA,30135,
10-RC-171649,U.S. ECOLOGY,,,Atlanta,GA,30336,
10-RC-172178,"Advantage Veterans Services of Walterboro, LLC",,,Walterboro,SC,29488,
10-RC-175616,"CSRA, Inc.",CSRA,, Bragg,NC,28310,
10-RC-176573,"Jacksonville Health and Rehabilitation, LLC",,,Jacksonville,AL,36265,
10-RC-177640,Beauflor USA LLC,,,Cartersville,GA,30121,
10-RC-178111,"GGNSC Winfield, LLC d/b/a Golden Living Center-Winfield",Golden Living,,,,,
10-RC-179889,"Explosive Ordnance Technologies, Inc.",,,Manns Harbor,NC,27953,
10-RC-181278,Choctaw Defense Services,,,Warner Robins,GA,31098,
10-RC-182100,North Alabama Electric Coop,,,Stevenson,AL,35772,
10-RC-182534,"Aramark Uniform Services, a division of Aramark Uniform & Career Apparel, LLC",Aramark,,Greensboro,NC,27406,
10-RC-183840,"The Whitestone Group, Inc.",Whitestone,,Columbus,OH,43219,
10-RC-185103,"Aramark Uniform Services, a division of Aramark Uniform & Career Apparel, LLC",Aramark,,Greensboro,NC,27406,
10-RC-187855,Kapstone Summerville Lumber Mill,,,Summerville,SC,29483,
10-RC-188623,Diversicare - Oneonta,,,Oneonta,AL,35121,
10-RC-188826,"AECOM URS Federal Services, Inc.",URS Federal,,Newport News,VA,23606,
10-RC-188875,"Citizens Telecommunications Company of the Volunteer State, L.L.C.",,,Powell,TN,37849,
10-RC-192531,"Louis Berger Services, Inc.",,,Fort Campbell,KY,42223,
10-RC-194498,Healthcare Services Group,Healthcare services,,Oxford,AL,36203,
10-RC-194739,Nestle USA Distribution Center,Deer Park,Nestle,McDonough,GA,30253,
10-RC-197936,"Avis Budget Car Rental, LLC",budget avis,avis,Augusta,GA,30906,
10-RC-198873,"CSRA, INC.",CSRA,,Fort Benning,GA,31905,
10-RC-200636,"CEVA Logistics U.S., Inc.",,,Chattanooga,TN,37406,
10-RC-201050,LB & B Associates Inc.,LB B associates,LB&B,Raleigh,NC,27610,
10-RC-202627,"Akal Security, Inc.",,,Augusta,GA,30901,
10-RC-204013,"Watco Switching Services, LLC",,,Fairfield,AL,35064,
10-RC-206308,Kumho Tires,,,Macon,GA,31216,
10-RC-207727,Skyline Ultd Inc.,,,Round Rock,TX,78681,
10-RC-210237,"CMC Logistics, LLC",,,North Charleston,SC,29406,
10-RC-210313,Central Steel & Wire Co.,,,Greensboro,NC,27405,
10-RC-210582,"CSRA, Inc.",CSRA,,Fort Campbell,KY,42223,
10-RC-216818,Boise Cascade Company,,,Thorsby,AL,35171,
10-RC-217463,"RCF, LLC",,,Decautr,AL,35601,
10-RC-218038,"Deployed Resources, LLC",,,Fort Stewart,GA,31304,
10-RC-218096,ALOG Corporation,,,Fort Stewart,GA,31304,
10-RC-222088,ADC LTD NM,,,Peachtree City,GA,30269,
10-RC-223260,"Paragon Systems, Inc.",paragon ,,Wilmington,DE,19801,
10-RC-223530,"Hollander Sleep Products, LLC",,,Munfordville,KY,42765,
10-RC-223992,"CoreCivic of Tennessee, LLC",,,Lumpkin,GA,31815,
10-RC-226013,"National Security Associates, Inc.",,,Cusseta,GA,31805,
10-RC-226135,"TIMCO Aerosystems, LLC d/b/a Haeco Cabin Solutions",,,Winston Salem,NC,27107,
10-RC-227890,"Luxottica Retail North America, Inc.",,,McDonough,GA,30253,
10-RC-228586,"AHTNA Professional Services, Inc. AND Centerra Group, LLC Multi-employer Petitioned for Unit",centerra,,Palm Beach Gardens,FL,33418,
10-RC-229737,"Paragon Systems, Inc.",paragon ,,Herndon,VA,20171,
10-RC-230018,"Duke Energy Carolinas, LLC",,,Charlotte,NC,28262,
10-RC-230484,RUAG Space USA Inc.,,,Trinity,AL,35673,
10-RC-230519,"AHTNA Professional Services, Inc. AND Centerra Group, LLC Multi-employer Petitioned-for Unit",centerra,,Anniston,AL,36201,
10-RC-231478,"BFI Waste Services, LLC d/b/a Republic Services of Georgia",republic services,,Cumming,GA,30028,
10-RC-234395,"CoreCivic of Tennessee, LLC",,,Lumpkin,GA,31815,
10-RC-238326,Center Stage Entertainment LLC,,,Atlanta,GA,30309,
10-RC-238731,"Aramark Uniform & Career Apparel, LLC",Aramark,,bluefield,VA,24605,
10-RC-242992,Georgia Power Forest Park Plant,,,Forest Park,GA,30297,
10-RC-245223,"BAE Systems Technology Solutions & Services, Inc.",,,Beaufort,SC,29904,
10-RC-246475,Kumho Tires,,,Macon,GA,31216,
10-RC-246582,"AmeriGuard Security Services, Inc.",,,Durham,NC,27709,
10-RC-247024,"General Mills Operations, LLC",,,Covington,GA,30014,
10-RC-249998,GADecatur SNF LLC d/b/a East Lake Arbor,,,Decatur,GA,30030,
10-RC-250405,Keolis Transit America Inc.,,,Greensboro,NC,27406,
10-RC-252700,United States Postal Service,,,Washington,DC,20260,
10-RC-253493,Durham D&M LLC,Durham D M,,Roanoke,VA,24019,
10-RC-255436,"L3 Technologies, Inc.",L3,Vertex Aerospace,Shaw AFB,SC,29152,
10-RC-257846,"Universal Protection Service, LLC d/b/a Allied Universal Security Services",Universal Protection,,Marietta,GA,30060,
10-RC-264116,Legal Aid of East Tennessee,Legal Aid,,Chattanooga,TN,37402,
10-RC-265725,Appalachian Power Company,,,Clintwood,VA,24228,
10-RC-267632,National Express Transit Corporation,,,Greensboro,NC,27409,
10-RC-269121,"IMI Kentucky, LLC",,,Bowling Green,KY,42101,
10-RC-269744,Walden Security,,,Vonore,TN,37885,
10-RC-273374,"Daicel Safety Systems Americas, Inc.",,,,,,
10-RC-274511,"Centerra Group, LLC",centerra,,Radford,VA,24141,
10-RC-277343,"Aery Aviation, LLC",,,Elizabeth City,NC,27909,
10-RC-278675,"Titan Distribution, Inc.",,,Jefferson,GA,30549,
10-RC-278879,Goldbelt C6,,,,,,
10-RC-279628,ADC LTD NM,,,Hapeville,GA,30354,
10-RC-279779,Carmeuse North America,,,Macon,GA,31206,
10-RC-280204,"Culpepper & Associates Security Services, Inc.",,,College Park,GA,30337,
10-RC-281157,"Pepsi Beverages Company, an operating unit of Pepsico, Inc.",Pepsi,,Macon,GA,31206,
10-RC-283707,"Estron Chemical, Inc.",,,Calvert City,KY,42029,
10-RC-286288,"Aramark Uniform & Career Apparel, LLC",Aramark,,Savannah,GA,31404,
10-RC-288115,"BFI Waste Services, LLC d/b/a Republic Services of Georgia",republic services,,Winder,GA,30680,
10-RC-288396,Atlanta Gas Light Company,,,Atlanta,GA,30309,
10-RC-288854,"Carlsen Precision Manufacturing, Inc.",,,Rome,GA,30161,
10-RC-293905,"The Martin-Brower Company, LLC",,,Garner,NC,27529,
10-RC-294094,Starbucks Corporation,Starbucks,,Seattle,WA,98134,
10-RC-294992,"USFL League, LLC",,,Birmingham,AL,35203,
10-RC-295162,"Vertex Aerospace, LLC",L3,Vertex Aerospace,Cherry Point,NC,28533,
10-RC-295911,Lockheed Martin Corporation d/b/a Lockheed Martin Rotary Mission Systems,Lockheed,,Marietta,GA,30060,
10-RC-296245,Endurance Environmental Solutions,,,Norcross,GA,30071,
10-RC-298510,Southern Aire Contracting INC,,,Perry,GA,31069,
10-RC-301643,"IMI Kentucky, Inc.",,,Nashville,TN,37013,
10-RC-301838,"Transdev Services, Inc. d/b/a GoRaleigh",Transdev,,Raleigh,NC,27610,
10-RC-303082,"McKay Books, Incorporated",,,Knoxville,TN,37919,
10-RC-308093,"Zenetex, LLC",,,Washington,DC,20036,
11-RC-006338,"Smithfield Packing Company, Incorporated",,,Wilson,NC,27893,
11-RC-006716,"Boeing Aerospace Operations, Inc.",Boeing,,Charleston Afb,SC,29404,
11-RC-006717,"White Directory Holdings Carolina, LLC, a subsidiary of Hearst Communications, Inc.",Hearst,,High Point,NC,27265,
11-RC-006718,"Smithfield Packing Company, Incorporated, Wilson Division",,,Wilson,NC,27893,
11-RC-006719,Computer Sciences Corporation,Computer Sciences,,Fort Bragg,NC,28310,
11-RC-006720,"The Pepsi Bottling Group, Inc.",Pepsi,,Princeton,WV,24740,
11-RC-006722,"Land-O-Sun Dairy, LLC",Land O sun,,Florence,SC,29504,
11-RC-006728,DTNA Cleveland TMP-Freightliner,,,Cleveland,NC,27013,
11-RC-006734,Lite Steel Technologies,,,Troutville,VA,24175,
11-RC-006735,Computer Sciences Corporation,Computer Sciences,,Eastover,SC,29044,
11-RC-006741,"American Red Cross, Carolinas Blood Services Region",Red cross,,Wilmington,NC,28401,
11-RC-006749,"American Red Cross, Carolinas Blood Services Region",Red cross,,Asheville,NC,28804,
11-RC-006753,URS Federal Support Services,URS Federal,,Elizabeth City,NC,27909,
11-RC-006756,"Defense Contract Services, Inc.",,,Elizabeth City,NC,27909,
11-RC-006759,"Swedwood Danville, LLC",,,Ringgold,VA,24586,
11-RC-062093,Akal Security Inc.,,,Asheville,NC,28801,
11-RC-065978,ARGOS CEMENT LLC,,,Harleyville,SC,29448,
11-RC-070799,"ARAMARK CLEANROOM SERVICES, INC. A DIVISION OF ARAMARK UNIFORM SERVICES AND CAREER APPAREL, LLC.",Aramark,,Durham,NC,27703,
11-RC-071606,Asplundh Expert Tree Co.,Asplundh Tree,,Charlotte,NC,28217,
11-RC-075722,"DURHAM SCHOOL SERVICES, A LIMITED PARTNERSHIP",Durham School,murphy bus,Summerville,SC,29483,
11-RC-076776,Intertape Polymer Corp.,,,Columbia,SC,29201,
12-RC-009285,MVM,MVM,,ASHBURN,VA,20147,
12-RC-009339,"Midwest Air Traffic Contral Service, Inc.",Midwest air traffic,,Overland Park,KS,66213,
12-RC-009344,"Contemporary Cars, Inc., d/b/a Mercedes Benz of Orlando",,,Fort Lauderdal,FL,33301,
12-RC-009347,"Robinson Aviation, Inc. (RVA)",,,,,,
12-RC-009349,"Robinson Aviation, Inc. (RVA)",,,ORLANDO,FL,32819,
12-RC-009350,Tec Tonic Metal & Glass LLC,,,Pompano Beach,FL,33069,
12-RC-009352,"Dick Howser Center for Childhood Services, Inc.",,,Tallahassee,FL,32304,
12-RC-009353,"Environmental Management, Inc.",,,Homestead Afb,FL,33039,
12-RC-009354,"Satellite Service, Inc.",,,Homestead Afb,FL,33039,
12-RC-009356,"LP Sebring, LLC d/b/a Kenilworth Care and Rehabilitation Center",,,Sebring,FL,33870,
12-RC-009358,Pride Industries,,,Eglin,FL,32542,
12-RC-009359,"Healthcare Services Group, Inc.",Healthcare services,,TAMARAC,FL,33321,
12-RC-009364,Prologics East,,,Doral,FL,33122,
12-RC-009366,"Areva T&D, Inc.",,,Rockledge,FL,32955,
12-RC-009368,American Red Cross Southern Blood Services Region,Red cross,,Jacksonville,FL,32204,
12-RC-009369,Community Rehabilitation CTR Trans. Inc.,,,West Palm Beach,FL,33411,
12-RC-009370,"Palmer College Foundation, Inc., d/ba/ Palmer College of Chiropractic Florida",,,,,,
12-RC-009372,"UPS Ground  Freight, Inc.",UPS,,Ocoee,FL,34761,
12-RC-009374,"Vanguard Car Rental USA, Inc. d/b/a National Car Rental and Alamo Rent A Car",,,Orlando,FL,32827,
12-RC-009388,"FI-Windsor Woods, LLC d/b/a Windsor Woods Rehabilitation & Healthcare Center",,,Hudson,FL,34667,
12-RC-009396,"Cabana Coaches, LLC",,,West Palm Beach,FL,33411,
12-RC-009399,"Second Florida Living Options LLC, d/b/a Hawthorne Health & Rehab of Brandon",,,Brandon,FL,33511,
12-RC-009400,"College Harbor Staffing, LLC  d/b/a Allegro at College Harbor and CRSA Management, LLC Joint Employe",,,Saint Petersburg,FL,33711,
12-RC-009402,"AmeriGas Propane, Inc.",Amerigas Propane,,Riviera Beach,FL,33407,
12-RC-009403,"American Ambulance, Inc.",,,Plantation,FL,33313,
12-RC-009407,Equitrac Corporation,Equitrac,,Plantation,FL,33324,
12-RC-009408,"Dollar Thrifty Automotive Group, Inc.",,,Orlando,FL,32809,
12-RC-009410,Avante of Ormond Beach,,,Ormond Beach,FL,32174,
12-RC-009412,"Medics Ambulance Service of Dade, Inc.",,,Hialeah,FL,33014,
12-RC-009414,"Balfour Beatty Communities, LLC",,,Kings Bay,GA,31547,
12-RC-009417,"Protection Strategies Incorporated d/b/a ETI Security, Inc.",protection strategies,psi,Lauham,MD,22006,
12-RC-009422,"ClubCorp Golf of Florida, LLC, a Delaware Limited Liability Company d/b/a Deerceek Country Club",,,Jacksonville,FL,32256,
12-RC-009423,Bartlett Nuclear Incorporated,,,Plymouth,MA,2360,
12-RC-009424,"Coastal Maritime Stevedoring, LLC and Portside Maintenance and Repair, LLC",,,Jacksonville,FL,32226,
12-RC-009434,Heritage Healthcare Center,,,Venice,FL,34285,
12-RC-009436,"ADT Security Services, Inc.",ADT,,Miramar,FL,33025,
12-RC-009440,"UPS Ground Freight, Inc.",UPS,,Ocoee,FL,34761,
12-RC-009452,Linens of the Week,,,Miami,FL,33142,
12-RC-009455,"Veolia Transportation Services, Inc.",veolia,,Miami,FL,33147,
12-RC-009456,"HCA Health Service of Florida, Inc.",,,Brooksville,FL,34613,
12-RC-009461,Consulate Health Care of Lake Parker,consulate health,ashland nursing,Lakeland,FL,33805,
12-RC-009468,HCA Health Services of FL. Inc.,,,Port Saint Lucie,FL,34952,
12-RC-009469,"FedConsulting, Inc.",,,Miami,FL,33186,
12-RC-009482,"Gino Morena Enterprises, LLC",Gino morena,,S SAN FRAN,CA,94083,
12-RC-009483,"Stuart Dean Co., Inc.",,,North Miami Beach,FL,33179,
12-RC-009489,"DHL Aviation Americas, Inc.",,,Miami,FL,33126,
12-RC-062875,"McKesson Pharmaceuticals, Inc.",Mckesson medical,mckesson ,LAKELAND,FL,33805,
12-RC-067573,Allied Medical Transport,,,Hollywood,FL,33023,
12-RC-068405,FCi Federal,FCI Federal,,Hialeah,FL,33015,
12-RC-068466,"Tenet Good Samaritan, Inc.",Saint Vincent,Tenet,West Palm Beach,FL,33401,
12-RC-068467,"Tenet Good Samaritan, Inc.",Saint Vincent,Tenet,West Palm Beach,FL,33401,
12-RC-068469,"Tenet Good Samaritan, Inc.",Saint Vincent,Tenet,West Palm Beach,FL,33401,
12-RC-068713,"MV Transportation-Div. 12 Orlando, FL",,,Fairfield,CA,94534,
12-RC-070464,Angelica Linen,,,Alpharetta,GA,30009,
12-RC-071890,"ADT Security Services, Inc.",ADT,,Miramar,FL,33025,
12-RC-073143,"Avis Rent A Car Systems, LLC",budget avis,avis,West Palm Beach,FL,33416,
12-RC-073219,Chenega Corporation,Chenega,Chenega Security,Ashburn,VA,20147,
12-RC-073295,Lockheed Martin IS & GS,Lockheed,,Cape Canaveral Afs,FL,32920,
12-RC-074866,UPS Cartage Service Inc.,UPS,,Orlando,FL,32809,
12-RC-075687,"Zeiger Crane Rental, Inc.",,,Riviera Beach,FL,33407,
12-RC-078601,Alstom Grid,alstom,,Cocoa,FL,32926,
12-RC-079316,Rural/Metro Corporation of Florida,,,BUSHNELL,FL,33513,
12-RC-083701,"AUTONATION IMPORTS OF LONGWOOD, INC. DBA COURTESY HONDA",Honda,,Sanford,FL,32771,
12-RC-086402,Grace Healthcare at Lake Wales,,,Lake Wales,FL,33853,
12-RC-087066,"USIC LOCATING SERVICES, INC.",USIC Locating,Premier Utility,Winter Garden,FL,34787,
12-RC-090813,"SAPG Tampa, LLC",,,Tampa,FL,33613,
12-RC-094577,Eastco Building Services Inc.,,,Deer Park,NY,11729,
12-RC-095948,"AVIS BUDGET GROUP D/B/A AB CAR RENTAL SERVICES, INC.",AB Car Rental,,Orlando,FL,32827,
12-RC-099644,CPS Florida d/b/a Airport Parking Associates,,,Miami,FL,33152,
12-RC-099692,UPS Supply Chain Solutions,UPS,,Doral,FL,33178,
12-RC-100410,"Garda CL Southeast, Inc.",garda CL,,Boca Raton,FL,33432,
12-RC-100685,Limousines of South Florida Inc.,,,Miami,FL,33142,
12-RC-101622,"Delaware Resource Group of Oklahoma, LLC",,,Jacksonville,FL,32212,
12-RC-102205,"Avis Budget Group d/b/a AB Car Rental Services, Inc.",AB Car Rental,,Dania Beach,FL,33004,
12-RC-104620,"Compass Group USA, Inc. dba Crothall Healthcare Inc",Crothall,Compass group,Rye Brook,NY,10573,
12-RC-105763,Civil and Marine Inc. d/b/a Hanson Slag,,,Cape Canaveral,FL,32920,
12-RC-106327,"Maruti Transit Group LLC and Maruti Fleet & Management, LLC (Joint Employer)",,,San Antonio,TX,78215,
12-RC-108599,Pepsi Beverages Company,Pepsi,,Pompano Beach,FL,33069,
12-RC-108619,"KGMP Services Company, Inc.",,,Fernandina Beach,FL,32034,
12-RC-109439,"West Altamonte Operations Facility, LLC D/B/A Consulate Healthcare at West Altamonte",,,Altamonte Springs,FL,32714,
12-RC-110866,"Enterprise Leasing Company of Florida, LLC, d/b/a Alamo Rent A Car and National Car Rental",,,ORLANDO,FL,32827,
